TIME,DEPTH
11.2202,17.1487
11.2302,17.1487
11.2402,17.1487
11.2502,17.1487
11.2602,17.1487
11.2702,17.1487
11.2802,17.1487
11.2902,17.1487
11.3002,17.1487
11.3102,17.1487
11.3202,17.0976
11.3302,17.0976
11.3402,17.0976
11.3502,17.0976
11.3602,17.0976
11.3702,17.0976
11.3802,17.0976
11.3902,17.0976
11.4002,17.0976
11.4102,17.0976
11.4202,17.0465
11.4302,17.0465
11.4402,17.0465
11.4502,17.0465
11.4602,17.0465
11.4702,17.0465
11.4802,17.0465
11.4902,17.0465
11.5002,17.0465
11.5102,17.0465
11.5202,16.9952
11.5302,16.9952
11.5402,16.9952
11.5502,16.9952
11.5602,16.9952
11.5702,16.9952
11.5802,16.9952
11.5902,16.9952
11.6002,16.9952
11.6102,16.9952
11.6202,16.9438
11.6302,16.9438
11.6402,16.9438
11.6502,16.9438
11.6602,16.9438
11.6702,16.9438
11.6802,16.9438
11.6902,16.9438
11.7002,16.9438
11.7102,16.9438
11.7202,16.8922
11.7302,16.8922
11.7402,16.8922
11.7502,16.8922
11.7602,16.8922
11.7702,16.8922
11.7802,16.8922
11.7902,16.8922
11.8002,16.8922
11.8102,16.8922
11.8202,16.8406
11.8302,16.8406
11.8402,16.8406
11.8502,16.8406
11.8602,16.8406
11.8702,16.8406
11.8802,16.8406
11.8902,16.8406
11.9002,16.8406
11.9102,16.8406
11.9202,16.7888
11.9302,16.7888
11.9402,16.7888
11.9502,16.7888
11.9602,16.7888
11.9702,16.7888
11.9802,16.7888
11.9902,16.7888
12.0002,16.7888
12.0102,16.7888
12.0202,16.737
12.0302,16.737
12.0402,16.737
12.0502,16.737
12.0602,16.737
12.0702,16.737
12.0802,16.737
12.0902,16.737
12.1002,16.737
12.1102,16.737
12.1202,16.685
12.1302,16.685
12.1402,16.685
12.1502,16.685
12.1602,16.685
12.1702,16.685
12.1802,16.685
12.1902,16.685
12.2002,16.685
12.2102,16.685
12.2202,16.6329
12.2302,16.6329
12.2402,16.6329
12.2502,16.6329
12.2602,16.6329
12.2702,16.6329
12.2802,16.6329
12.2902,16.6329
12.3002,16.6329
12.3102,16.6329
12.3202,16.5808
12.3302,16.5808
12.3402,16.5808
12.3502,16.5808
12.3602,16.5808
12.3702,16.5808
12.3802,16.5808
12.3902,16.5808
12.4002,16.5808
12.4102,16.5808
12.4202,16.5285
12.4302,16.5285
12.4402,16.5285
12.4502,16.5285
12.4602,16.5285
12.4702,16.5285
12.4802,16.5285
12.4902,16.5285
12.5002,16.5285
12.5102,16.5285
12.5202,16.4761
12.5302,16.4761
12.5402,16.4761
12.5502,16.4761
12.5602,16.4761
12.5702,16.4761
12.5802,16.4761
12.5902,16.4761
12.6002,16.4761
12.6102,16.4761
12.6202,16.4237
12.6302,16.4237
12.6402,16.4237
12.6502,16.4237
12.6602,16.4237
12.6702,16.4237
12.6802,16.4237
12.6902,16.4237
12.7002,16.4237
12.7102,16.4237
12.7202,16.3711
12.7302,16.3711
12.7402,16.3711
12.7502,16.3711
12.7602,16.3711
12.7702,16.3711
12.7802,16.3711
12.7902,16.3711
12.8002,16.3711
12.8102,16.3711
12.8202,16.3185
12.8302,16.3185
12.8402,16.3185
12.8502,16.3185
12.8602,16.3185
12.8702,16.3185
12.8802,16.3185
12.8902,16.3185
12.9002,16.3185
12.9102,16.3185
12.9202,16.2658
12.9302,16.2658
12.9402,16.2658
12.9502,16.2658
12.9602,16.2658
12.9702,16.2658
12.9802,16.2658
12.9902,16.2658
13.0002,16.2658
13.0102,16.2658
13.0202,16.213
13.0302,16.213
13.0402,16.213
13.0502,16.213
13.0602,16.213
13.0702,16.213
13.0802,16.213
13.0902,16.213
13.1002,16.213
13.1102,16.213
13.1202,16.1602
13.1302,16.1602
13.1402,16.1602
13.1502,16.1602
13.1602,16.1602
13.1702,16.1602
13.1802,16.1602
13.1902,16.1602
13.2002,16.1602
13.2102,16.1602
13.2202,16.1072
13.2302,16.1072
13.2402,16.1072
13.2502,16.1072
13.2602,16.1072
13.2702,16.1072
13.2802,16.1072
13.2902,16.1072
13.3002,16.1072
13.3102,16.1072
13.3202,16.0542
13.3302,16.0542
13.3402,16.0542
13.3502,16.0542
13.3602,16.0542
13.3702,16.0542
13.3802,16.0542
13.3902,16.0542
13.4002,16.0542
13.4102,16.0542
13.4202,16.0011
13.4302,16.0011
13.4402,16.0011
13.4502,16.0011
13.4602,16.0011
13.4702,16.0011
13.4802,16.0011
13.4902,16.0011
13.5002,16.0011
13.5102,16.0011
13.5202,15.948
13.5302,15.948
13.5402,15.948
13.5502,15.948
13.5602,15.948
13.5702,15.948
13.5802,15.948
13.5902,15.948
13.6002,15.948
13.6102,15.948
13.6202,15.8947
13.6302,15.8947
13.6402,15.8947
13.6502,15.8947
13.6602,15.8947
13.6702,15.8947
13.6802,15.8947
13.6902,15.8947
13.7002,15.8947
13.7102,15.8947
13.7202,15.8415
13.7302,15.8415
13.7402,15.8415
13.7502,15.8415
13.7602,15.8415
13.7702,15.8415
13.7802,15.8415
13.7902,15.8415
13.8002,15.8415
13.8102,15.8415
13.8202,15.7881
13.8302,15.7881
13.8402,15.7881
13.8502,15.7881
13.8602,15.7881
13.8702,15.7881
13.8802,15.7881
13.8902,15.7881
13.9002,15.7881
13.9102,15.7881
13.9202,15.7347
13.9302,15.7347
13.9402,15.7347
13.9502,15.7347
13.9602,15.7347
13.9702,15.7347
13.9802,15.7347
13.9902,15.7347
14.0002,15.7347
14.0102,15.7347
14.0202,15.6812
14.0302,15.6812
14.0402,15.6812
14.0502,15.6812
14.0602,15.6812
14.0702,15.6812
14.0802,15.6812
14.0902,15.6812
14.1002,15.6812
14.1102,15.6812
14.1202,15.6277
14.1302,15.6277
14.1402,15.6277
14.1502,15.6277
14.1602,15.6277
14.1702,15.6277
14.1802,15.6277
14.1902,15.6277
14.2002,15.6277
14.2102,15.6277
14.2202,15.5741
14.2302,15.5741
14.2402,15.5741
14.2502,15.5741
14.2602,15.5741
14.2702,15.5741
14.2802,15.5741
14.2902,15.5741
14.3002,15.5741
14.3102,15.5741
14.3202,15.5204
14.3302,15.5204
14.3402,15.5204
14.3502,15.5204
14.3602,15.5204
14.3702,15.5204
14.3802,15.5204
14.3902,15.5204
14.4002,15.5204
14.4102,15.5204
14.4202,15.4668
14.4302,15.4668
14.4402,15.4668
14.4502,15.4668
14.4602,15.4668
14.4702,15.4668
14.4802,15.4668
14.4902,15.4668
14.5002,15.4668
14.5102,15.4668
14.5202,15.413
14.5302,15.413
